Name,Power,Accuracy,Damage Class,Description,Effect
Destructor,40.0,100.0,physical,Golpea con las patas o la cola.,Inflicts regular damage.
Golpe Kárate,50.0,100.0,physical,Da un golpe cortante. Suele ser crítico.,Inflicts regular damage.  User's critical hit rate is one level higher when using this move.
Doble Bofetón,15.0,85.0,physical,Abofetea de dos a cinco veces seguidas.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
Puño Cometa,18.0,85.0,physical,Pega de dos a cinco veces seguidas.,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
Megapuño,80.0,85.0,physical,Un puñetazo de gran potencia.,Inflicts regular damage.
Día de Pago,40.0,100.0,physical,"Arroja monedas al objetivo. Las recupera al final
del combate.","Inflicts regular damage.  After the battle ends, the winner receives five times the user's level in extra money for each time this move was used."
Puño Fuego,75.0,100.0,physical,Puñetazo ardiente. Puede quemar.,Inflicts regular damage.  Has a 10% chance to burn the target.
Puño Hielo,75.0,100.0,physical,Puñetazo helado. Puede congelar.,Inflicts regular damage.  Has a 10% chance to freeze the target.
Puño Trueno,75.0,100.0,physical,Puñetazo eléctrico. Puede paralizar.,Inflicts regular damage.  Has a 10% chance to paralyze the target.
Arañazo,40.0,100.0,physical,Araña con afiladas garras.,Inflicts regular damage.
Agarre,55.0,100.0,physical,Atrapa y atenaza al objetivo.,Inflicts regular damage.
Guillotina,,30.0,physical,"Ataque con pinzas que debilita al oponente de un
golpe si acierta.","Inflicts damage equal to the target's max HP.  Ignores accuracy and evasion modifiers.  This move's accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect."
Viento Cortante,80.0,100.0,special,"Primero se prepara y en el segundo turno ataca
al oponente con ráfagas de viento cortante. Alta
probabilidad de ser crítico.","Inflicts regular damage.  User's critical hit rate is one level higher when using this move.  User charges for one turn before attacking.

This move cannot be selected by sleep talk."
Danza Espada,,,status,Baile frenético que aumenta mucho el Ataque.,Raises the user's Attack by two stages.
Corte,50.0,95.0,physical,"Corta con garras, guadañas, etc. También sirve
para cortar árboles finos.",Inflicts regular damage.
Tornado,40.0,100.0,special,"Crea un tornado con las alas y lo lanza contra
el objetivo.","Inflicts regular damage.

If the target is under the effect of bounce, fly, or sky drop, this move will hit with double power."
Ataque Ala,60.0,100.0,physical,Golpea al objetivo con unas grandes alas.,Inflicts regular damage.
Remolino,,,status,"Se lleva al objetivo, que es cambiado por otro
Pokémon. Si es un Pokémon salvaje, acaba el
combate.","Switches the target out for another of its trainer's Pokémon selected at random.  Wild battles end immediately.

Doesn't affect Pokémon with suction cups or under the effect of ingrain."
